Scenario,River,Nodes and Reaches,Year,Week,Streamflow[Cubic Meter]
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2009,24,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2009,25,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2009,26,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2009,27,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2009,28,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2009,29,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2009,30,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2009,31,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2009,32,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2009,33,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2009,34,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2009,35,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2009,36,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2009,37,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2009,38,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2009,39,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2009,40,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2009,41,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2009,42,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2009,43,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2009,44,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2009,45,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2009,46,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2009,47,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2009,48,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2009,49,0
